User_ID,Date,Time,Hours_per_day,While_working,Instrumentalist,Composer,Fav_genre,Exploratory,Foreign_languages,Anxiety,Depression,Insomnia,OCD,Music_effects
1,8/27/2022,19:29:02,3,Yes,Yes,Yes,Latin,Yes,Yes,3,0,1,0,Improve
2,8/27/2022,19:57:31,1.5,Yes,No,No,Rock,Yes,No,7,2,2,1,Improve
3,8/27/2022,21:28:18,4,No,No,No,Video game music,No,Yes,7,7,10,2,No effect
4,8/27/2022,21:40:40,2.5,Yes,No,Yes,Jazz,Yes,Yes,9,7,3,3,Improve
5,8/27/2022,21:54:47,4,Yes,No,No,R&B,Yes,No,7,2,5,9,Improve
6,8/27/2022,21:56:50,5,Yes,Yes,Yes,Jazz,Yes,Yes,8,8,7,7,Improve
7,8/27/2022,22:00:29,3,Yes,Yes,No,Video game music,Yes,Yes,4,8,6,0,Improve
8,8/27/2022,22:18:59,1,Yes,No,No,K pop,Yes,Yes,5,3,5,3,Improve
9,8/27/2022,22:33:05,6,Yes,No,No,Rock,No,No,2,0,0,0,Improve
10,8/27/2022,22:44:03,1,Yes,No,No,R&B,Yes,Yes,2,2,5,1,Improve
11,8/27/2022,22:51:15,3,Yes,Yes,No,Country,Yes,No,7,7,4,7,No effect
12,8/27/2022,23:00:32,8,Yes,No,No,EDM,Yes,No,1,0,0,1,Improve
13,8/27/2022,23:04:00,3,Yes,No,No,Hip hop,Yes,Yes,9,3,2,7,Improve
14,8/27/2022,23:12:03,2,Yes,No,No,Country,Yes,No,2,1,2,0,Improve
15,8/27/2022,23:16:06,4,Yes,Yes,No,Jazz,Yes,Yes,6,4,7,0,Improve
16,8/27/2022,23:19:52,2,No,No,No,Pop,Yes,Yes,7,5,4,1,Worsen
17,8/27/2022,23:39:41,8,Yes,No,No,Hip hop,Yes,Yes,8,8,4,3,Improve
18,8/27/2022,23:39:49,12,Yes,No,Yes,Hip hop,Yes,Yes,5,7,10,0,Improve
19,8/27/2022,23:40:55,24,Yes,No,No,Rap,Yes,No,7,5,0,3,Improve
20,8/27/2022,23:41:36,3,No,No,No,Hip hop,No,No,7,3,0,2,Improve
21,8/27/2022,23:43:06,8,Yes,No,No,Hip hop,Yes,Yes,6,9,3,0,Improve
22,8/28/2022,0:28:02,4,Yes,No,No,Rap,Yes,No,10,10,2,4,Improve
23,8/28/2022,1:39:02,5,Yes,No,No,R&B,Yes,Yes,6,7,5,4,Improve
24,8/28/2022,3:19:08,2,Yes,No,No,Pop,No,Yes,3,3,8,6,No effect
25,8/28/2022,4:13:11,3,Yes,Yes,Yes,Rock,Yes,Yes,10,6,8,10,Improve
26,8/28/2022,4:38:14,2,No,No,No,Pop,Yes,Yes,7,4,2,5,Improve
27,8/28/2022,4:40:36,12,Yes,Yes,Yes,Rock,Yes,Yes,8,6,10,5,Improve
28,8/28/2022,5:05:51,6,Yes,Yes,Yes,Pop,No,Yes,3,2,1,2,Improve
29,8/28/2022,5:16:30,2,Yes,Yes,No,Pop,Yes,Yes,6,6,4,5,Improve
30,8/28/2022,8:36:27,1,Yes,No,No,Pop,Yes,No,8,2,1,5,Improve
31,8/28/2022,10:30:22,5,Yes,Yes,No,Rock,Yes,Yes,7,7,2,0,Improve
32,8/28/2022,10:38:05,2,Yes,No,No,Classical,No,No,4,4,4,3,No effect
33,8/28/2022,10:54:30,6,Yes,Yes,No,Metal,Yes,Yes,9,8,2,3,Improve
34,8/28/2022,10:59:53,4,No,No,No,Rock,Yes,Yes,5,6,6,1,Improve
35,8/28/2022,11:08:51,1,Yes,No,No,Classical,No,No,0,0,0,0,No effect
36,8/28/2022,11:13:25,5,Yes,Yes,No,Pop,Yes,No,3,2,1,1,Improve
37,8/28/2022,11:25:49,4,Yes,No,No,Pop,No,Yes,6,8,0,2,Improve
38,8/28/2022,11:27:15,3,Yes,No,No,Pop,Yes,No,2,0,4,0,No effect
39,8/28/2022,11:36:35,0.5,No,No,No,Rock,No,Yes,9,8,1,0,No effect
40,8/28/2022,11:39:21,4,Yes,No,No,EDM,Yes,No,7,2,8,6,Improve
41,8/28/2022,11:50:31,2,Yes,Yes,Yes,Video game music,Yes,No,4,2,3,4,Improve
42,8/28/2022,11:54:45,5,Yes,Yes,No,Rock,Yes,No,7,6,5,0,Improve
43,8/28/2022,11:55:54,0.25,No,No,No,Video game music,Yes,No,3,2,10,0,No effect
44,8/28/2022,11:58:48,3,Yes,No,No,Classical,Yes,Yes,6,6,8,2,Improve
45,8/28/2022,12:08:29,4,Yes,No,No,Metal,Yes,Yes,1,0,8,2,No effect
46,8/28/2022,12:12:35,1,Yes,Yes,Yes,Folk,No,No,7,3,1,5,Improve
47,8/28/2022,12:15:02,1,No,Yes,Yes,Classical,No,No,8,9,3,0,No effect
48,8/28/2022,12:23:52,3,Yes,No,No,Rock,Yes,Yes,9,6,4,3,Improve
49,8/28/2022,12:30:08,5,Yes,No,Yes,Metal,Yes,Yes,7,9,5,0,Improve
50,8/28/2022,12:32:09,3,Yes,No,No,Pop,No,Yes,7,4,2,4,No effect
51,8/28/2022,12:37:17,2,Yes,Yes,No,EDM,Yes,No,0,0,0,0,Improve
52,8/28/2022,12:39:49,6,Yes,No,No,K pop,Yes,Yes,7,8,7,5,Improve
53,8/28/2022,12:52:19,1,No,No,No,Rap,No,Yes,10,6,3,10,No effect
54,8/28/2022,12:53:01,12,Yes,No,No,Pop,Yes,Yes,3,7,5,5,No effect
55,8/28/2022,12:54:35,4,Yes,No,Yes,Rock,Yes,Yes,8,7,4,3,Improve
56,8/28/2022,13:01:42,2,Yes,Yes,No,Classical,Yes,No,0,0,1,3,Improve
57,8/28/2022,13:05:46,6,Yes,No,No,Rock,Yes,No,8,6,2,10,No effect
58,8/28/2022,13:08:24,0,Yes,No,No,Rock,No,Yes,9,0,10,0,No effect
59,8/28/2022,13:09:53,7,Yes,No,No,Folk,Yes,Yes,6,4,2,3,Improve
60,8/28/2022,13:18:19,1,Yes,Yes,No,Video game music,No,No,7,0,0,2,Improve
61,8/28/2022,13:22:36,1,No,Yes,No,K pop,Yes,Yes,10,1,0,0,Improve
62,8/28/2022,13:22:53,1,No,Yes,No,Rock,Yes,No,8,7,0,5,Improve
63,8/28/2022,13:34:00,2,Yes,Yes,No,Rock,No,No,3,2,6,7,Improve
64,8/28/2022,13:34:27,2,No,No,No,Metal,No,Yes,5,5,3,1,No effect
65,8/28/2022,13:42:20,5,Yes,No,No,Rock,No,Yes,10,10,3,1,Worsen
66,8/28/2022,13:43:06,6,Yes,No,No,Metal,Yes,Yes,5,4,10,2,Improve
67,8/28/2022,13:46:03,3,No,No,No,Rock,Yes,Yes,0,0,8,0,No effect
68,8/28/2022,13:48:11,4,No,No,No,Hip hop,Yes,No,8,8,5,10,Improve
69,8/28/2022,13:55:45,3,Yes,Yes,Yes,Metal,Yes,Yes,10,7,8,0,Improve
70,8/28/2022,13:57:47,2,Yes,Yes,Yes,Rock,Yes,No,7,3,1,1,Improve
71,8/28/2022,13:59:16,3,Yes,No,No,Rock,Yes,No,8,7,4,0,Improve
72,8/28/2022,14:00:18,2,Yes,No,No,Rock,Yes,Yes,10,2,0,5,No effect
73,8/28/2022,14:01:08,4,Yes,No,No,Rock,No,Yes,9,8,1,2,Improve
74,8/28/2022,14:02:12,2,Yes,Yes,Yes,Hip hop,Yes,Yes,6,3,1,1,Improve
75,8/28/2022,14:04:09,0.5,No,No,No,Hip hop,No,No,7,7,0,1,No effect
76,8/28/2022,14:04:20,5,Yes,Yes,Yes,Jazz,Yes,Yes,7,7,8,4,Improve
77,8/28/2022,14:07:29,5,Yes,No,No,Metal,Yes,Yes,4,1,0,0,Improve
78,8/28/2022,14:08:57,10,Yes,No,No,R&B,Yes,Yes,7,2,1,5,Improve
